ep_rewmean,current_lr,time_elapsed,n_updates,fps,mean 100 episode reward,episodes,total timesteps,eplenmean,ent_coef_loss,qf2_loss,qf1_loss,ent_coef,entropy,value_loss,policy_loss
-506.4350706499999,0.0003,518,20462,39,-506.4,162,20562,157.44,-0.6985526,877.12665,877.7686,0.075306036,1.0982336,10.792416,100.564804
-501.5562929899999,0.0003,526,20762,39,-501.6,163,20862,159.67,0.97103876,19.780205,13.969691,0.08156576,1.4109536,7.8200645,106.29134
-496.10541814,0.0003,534,21062,39,-496.1,164,21162,161.76,0.84747225,1526.6837,1520.1129,0.081561245,1.5755811,6.1018467,103.52734
-491.61673538,0.0003,542,21362,39,-491.6,165,21462,164.48,-0.23386097,11.370881,12.745771,0.07951929,1.4686729,15.812032,98.50102
-484.86876152,0.0003,550,21662,39,-484.9,166,21762,166.25,0.09468877,18.386639,17.597748,0.07712075,1.3297119,8.287645,99.555405
-485.35513156,0.0003,558,21962,39,-485.4,167,22062,166.25,0.84708804,21.947975,30.061237,0.07393179,1.0785056,29.002619,100.39137
-482.44429447999994,0.0003,566,22262,39,-482.4,168,22362,166.25,-1.182586,67.2525,68.461426,0.070691675,1.524949,6.62475,100.95233
-477.34391102999984,0.0003,574,22562,39,-477.3,169,22662,168.21,2.8386402,7.3371572,9.410775,0.06900001,1.600563,6.682004,106.87158
-477.35558636,0.0003,575,22619,39,-477.4,170,22719,168.12,2.5920541,62.32965,46.945942,0.070721924,1.7481952,17.544846,99.46878
-477.2075517099999,0.0003,577,22683,39,-477.2,171,22783,167.74,0.52702874,63.295757,61.156086,0.07091151,1.172036,16.726967,95.76922
-472.38578454000003,0.0003,584,22983,39,-472.4,172,23083,170.49,-0.020914793,1485.6735,1463.9813,0.06789921,1.094569,22.42876,106.658745
-467.38918428000005,0.0003,592,23283,39,-467.4,173,23383,172.24,-1.7829487,2312.6614,2350.3096,0.06921493,1.3116109,7.403525,104.24654
-467.47734578999996,0.0003,595,23416,39,-467.5,174,23516,172.33,-0.54427874,1489.9729,1459.095,0.06768129,1.3873943,3.3914528,94.20294
-462.47324536,0.0003,603,23716,39,-462.5,175,23816,174.11,-2.2084491,1502.4291,1485.4604,0.06687839,1.547467,5.7406073,104.92022
-462.68769101,0.0003,605,23821,39,-462.7,176,23921,174.18,-0.8952831,7.7154484,6.8245735,0.06631293,1.4284418,2.4484234,98.634605
-457.66260507999993,0.0003,613,24121,39,-457.7,177,24221,175.45,-0.8261407,79.08304,78.187904,0.0682331,1.2338256,7.320141,111.21521
-463.0930279499999,0.0003,615,24202,39,-463.1,178,24302,173.26,-0.16854353,899.8207,905.2911,0.06765543,1.3511872,8.712929,108.74469
-466.95556648999997,0.0003,617,24274,39,-467.0,179,24374,170.98,0.23283036,9.522282,8.667518,0.06802007,1.3786354,17.792385,99.10614
-462.19621815,0.0003,625,24574,39,-462.2,180,24674,172.81,4.102332,7.2350335,9.528204,0.06984013,1.4815247,2.9551907,102.9719
