EpIntrinsicRew/step,EpLenMean,EpRew/step,EpThisIter,EpTotalRewMean,EpisodesSoFar,MaxIntrinsicRew,TimeElapsed,TimestepsSoFar,entloss,entropy,ev_tdlam_before,meankl,optimgain,surrgain,,,,,,,,,,,,
0,153.6,-6.387476365,8,-498.7493215,670,0,2202.420047,100352,0,1.4130526,-2.86E-05,0.000817455,0.012050435,0.012050435,,,,,,,,,,,,
0,153.6,-5.789359629,6,-513.5865311,676,0,2224.342144,101376,0,1.4251382,3.65E-05,0.000858394,0.012250606,0.012250606,,,,,,,,,,,,
0,151.95,-5.945999077,7,-498.3344145,683,0,2247.010313,102400,0,1.3642515,0.00010401,0.000830265,0.011950823,0.011950823,,,,,,,,,,,,
0,148.325,-5.947509734,6,-511.6359817,689,0,2269.40113,103424,0,1.3953409,-0.000255346,0.000835655,0.010800023,0.010800023,,,,,,,,,,,,
0,149,-5.892025532,7,-481.7383656,696,0,2291.955168,104448,0,1.3984332,-5.39E-05,0.000816607,0.011501252,0.011501252,,,,,,,,,,,,
0,152.525,-5.406314836,7,-468.5674669,703,0,2314.536776,105472,0,1.3873844,1.69E-05,0.000834296,0.011183985,0.011183985,,,,,,,,,,,,
0,149.375,-5.739558969,8,-451.9307077,711,0,2337.088688,106496,0,1.4174086,4.12E-05,0.000786408,0.011606913,0.011606913,,,,,,,,,,,,
0,148.175,-6.118721288,6,-451.1292441,717,0,2359.948837,107520,0,1.4164367,-5.69E-05,0.00081998,0.013765377,0.013765377,,,,,,,,,,,,
0,156.825,-5.435504535,4,-440.3609807,721,0,2383.255376,108544,0,1.4648942,-2.72E-05,0.000798894,0.012816656,0.012816656,,,,,,,,,,,,
0,153.6,-6.131251046,8,-453.967526,729,0,2405.666328,109568,0,1.407007,1.42E-05,0.000885068,0.012610581,0.012610581,,,,,,,,,,,,
0,156.275,-5.404216716,6,-440.0949217,735,0,2428.524153,110592,0,1.3982911,-0.000150323,0.000885272,0.014116612,0.014116612,,,,,,,,,,,,
0,155.975,-5.27996451,6,-454.8495144,741,0,2450.669937,111616,0,1.4083015,-4.51E-05,0.000887062,0.013415452,0.013415452,,,,,,,,,,,,
