mean 100 episode reward,episodes,% time spent exploring,steps,mean 100 episode reward per step
48.0,468,2,64600,0.29354194620032087
47.7,469,2,64700,0.2928380910550708
47.7,469,2,64800,0.2928380910550708
48.0,470,2,64900,0.2934177361774356
48.0,470,2,65000,0.2934177361774356
48.0,471,2,65100,0.2933744441398031
48.0,471,2,65200,0.2933744441398031
48.6,472,2,65300,0.29472083607366534
48.6,472,2,65400,0.29472083607366534
49.1,473,2,65500,0.2959263364709717
49.1,473,2,65600,0.2959263364709717
49.5,474,2,65700,0.2965542783034878
49.5,474,2,65800,0.2965542783034878
49.9,475,2,65900,0.29733291823727437
49.9,475,2,66000,0.29733291823727437
50.5,476,2,66100,0.2987325901595908
50.5,476,2,66200,0.2987325901595908
50.4,477,2,66300,0.298663789010289
50.4,477,2,66400,0.298663789010289
50.4,478,2,66500,0.29852923065205
50.4,478,2,66600,0.29852923065205
50.0,480,2,66700,0.2976358896408284
49.6,481,2,66800,0.29688458954381464
49.6,481,2,66900,0.29688458954381464
49.8,482,2,67000,0.2973369696074182
49.8,482,2,67100,0.2973369696074182
50.1,483,2,67200,0.2977778569446673
50.1,483,2,67300,0.2977778569446673
50.5,484,2,67400,0.2984261145093334
50.5,484,2,67500,0.2984261145093334
50.5,485,2,67600,0.2983785490408973
50.5,485,2,67700,0.2983785490408973
50.6,486,2,67800,0.2980507653958511
49.5,488,2,67900,0.29614759213308284
49.5,488,2,68000,0.29614759213308284
49.7,489,2,68100,0.29659273961695193
49.7,489,2,68200,0.29659273961695193
49.6,490,2,68300,0.2962101271043815
49.6,490,2,68400,0.2962101271043815
49.7,491,2,68500,0.29574559949989593
49.7,491,2,68600,0.29574559949989593
50.1,492,2,68700,0.2965500181773246
50.1,492,2,68800,0.2965500181773246
50.1,493,2,68900,0.2963540913898947
50.1,493,2,69000,0.2963540913898947
50.5,494,2,69100,0.2970663419530156
50.1,495,2,69200,0.29659635815570495
50.1,495,2,69300,0.29659635815570495
50.4,496,2,69400,0.2971059960661039
50.3,497,2,69500,0.29678912989194034
50.3,497,2,69600,0.29678912989194034
50.3,498,2,69700,0.29674903130716834
50.5,499,2,69800,0.29738517198684283
50.5,499,2,69900,0.29738517198684283
50.5,500,2,70000,0.2975395302200341
50.5,500,2,70100,0.2975395302200341
51.1,501,2,70200,0.2996321965894648
51.1,501,2,70300,0.2996321965894648
51.5,502,2,70400,0.30019358878701735
51.5,502,2,70500,0.30019358878701735
51.0,504,2,70600,0.2988872378418089
51.0,504,2,70700,0.2988872378418089
50.8,505,2,70800,0.29835472787864414
50.8,505,2,70900,0.29835472787864414
50.8,506,2,71000,0.2983701876481326
50.3,507,2,71100,0.297514147428511
50.3,507,2,71200,0.297514147428511
50.3,508,2,71300,0.2974629594810881
50.3,508,2,71400,0.2974629594810881
50.3,509,2,71500,0.2974845171444798
50.3,509,2,71600,0.2974845171444798
50.8,510,2,71700,0.29841762584362796
50.5,511,2,71800,0.29769918385274496
50.5,511,2,71900,0.29769918385274496
50.4,512,2,72000,0.2973263105184056
50.4,512,2,72100,0.2973263105184056
50.4,513,2,72200,0.2974116577437701
50.4,513,2,72300,0.2974116577437701
50.4,514,2,72400,0.29726299675158574
50.4,514,2,72500,0.29726299675158574
50.9,515,2,72600,0.2979331116112589
51.0,516,2,72700,0.29865859657662536
51.0,516,2,72800,0.29865859657662536
50.8,518,2,72900,0.2981570519187689
50.8,518,2,73000,0.2981570519187689
50.8,519,2,73100,0.29818353444886325
50.8,519,2,73200,0.29818353444886325
50.8,520,2,73300,0.29829111372620387
51.0,521,2,73400,0.2985628437059287
50.6,522,2,73500,0.29795937479977863
50.6,522,2,73600,0.29795937479977863
51.1,523,2,73700,0.2987207706905261
51.1,523,2,73800,0.2987207706905261
51.2,524,2,73900,0.29901496888878404
51.2,524,2,74000,0.29901496888878404
51.5,525,2,74100,0.29947970716862404
51.5,525,2,74200,0.29947970716862404
51.5,526,2,74300,0.29950044148319244
51.5,526,2,74400,0.29950044148319244
50.9,528,2,74500,0.2981241036909037
50.9,528,2,74600,0.2981241036909037
50.7,530,2,74700,0.29669994165169056
50.7,530,2,74800,0.29669994165169056
50.7,531,2,74900,0.29660802695717337
50.7,531,2,75000,0.29660802695717337
51.0,532,2,75100,0.2971820138627603
50.9,533,2,75200,0.29643624134134233
50.9,533,2,75300,0.29643624134134233
50.3,535,2,75400,0.29461109324749196
50.3,535,2,75500,0.29461109324749196
50.9,536,2,75600,0.29631191829732156
50.9,536,2,75700,0.29631191829732156
50.9,537,2,75800,0.29625365377411095
50.9,537,2,75900,0.29625365377411095
50.9,538,2,76000,0.29634797324317647
50.9,538,2,76100,0.29634797324317647
50.9,539,2,76200,0.2961775340510386
50.9,539,2,76300,0.2961775340510386
51.0,540,2,76400,0.2966139050347279
49.8,542,2,76500,0.2939399917724904
49.8,542,2,76600,0.2939399917724904
50.1,543,2,76700,0.2942985441843991
50.0,544,2,76800,0.29430429920043655
50.0,544,2,76900,0.29430429920043655
50.3,545,2,77000,0.29485684812327045
50.3,545,2,77100,0.29485684812327045
50.3,546,2,77200,0.2948048756328867
50.3,546,2,77300,0.2948048756328867
50.7,547,2,77400,0.29555988000712186
50.7,547,2,77500,0.29555988000712186
50.7,548,2,77600,0.2954295298273408
50.7,548,2,77700,0.2954295298273408
51.2,549,2,77800,0.2963110117395875
50.9,550,2,77900,0.2959962517462618
