mean 100 episode reward per step,time_elapsed,total timesteps,eplenmean,mean 100 episode reward,ep_rewmean,current_lr,fps,episodes,n_updates,ent_coef,ent_coef_loss,policy_loss,entropy,qf2_loss,value_loss,qf1_loss
-14.185842759271596,126,6500,68.01052631578948,-685.7,-685.7097038947368,0.0003,51,96,6400,0.14538689,-6.2856283,78.774376,2.495136,6.2895265,0.0021792576,6.412928
-14.115991076621917,128,6600,67.87628865979381,-684.8,-684.8024134329895,0.0003,51,98,6500,0.14107741,-6.1203003,80.965965,2.4707384,4022.1675,0.10927203,4006.692
-14.209320673044061,130,6700,67.44897959183673,-684.0,-683.9862620714284,0.0003,51,99,6600,0.13690293,-6.23427,82.35104,2.4916797,6.793201,0.042817317,6.8573594
-14.107710991286398,132,6800,68.60606060606061,-684.7,-684.7065333232322,0.0003,51,100,6700,0.13284788,-6.689198,83.15627,2.578245,6073.8755,0.025791772,6058.1074
-14.107710991286398,134,6900,68.60606060606061,-684.7,-684.7065333232322,0.0003,51,100,6800,0.12890549,-6.8778496,85.06195,2.5550787,7.4228845,0.04751236,7.415068
-14.001811890230718,136,7000,69.84,-684.6,-684.6136456899999,0.0003,51,101,6900,0.12506647,-6.800602,86.43469,2.456821,4139.0244,0.15287855,4138.159
-14.15446054918891,138,7100,69.43,-684.2,-684.18528509,0.0003,51,102,7000,0.12133743,-6.9506903,87.80707,2.4882388,8.424755,0.00858479,8.529893
-14.124797243054047,140,7200,70.33,-685.6,-685.5793869199999,0.0003,51,103,7100,0.117719084,-7.240341,88.64259,2.4228058,2048.6777,0.0018782669,2048.4565
-14.004322452544056,142,7300,70.94,-686.0,-686.01293628,0.0003,51,104,7200,0.114211835,-7.116234,90.74582,2.5405862,2036.6542,0.053205412,2036.2842
-13.973189779586962,144,7400,71.15,-685.4,-685.4041838,0.0003,51,105,7300,0.11080904,-7.323676,92.00058,2.5183475,2022.9502,0.00045938633,2022.7888
-13.812427427721968,146,7500,71.93,-686.0,-685.9939654700001,0.0003,51,106,7400,0.107516505,-7.527938,93.60361,2.5253086,6015.0425,0.0070466567,6014.348
-13.651595208184808,148,7600,72.52,-686.7,-686.7301800500001,0.0003,51,107,7500,0.10431996,-7.568152,95.25082,2.5228515,1854.5282,0.28058565,1838.6682
-13.591008721428725,150,7700,72.81,-689.0,-689.03422244,0.0003,51,108,7600,0.10121546,-7.5661163,96.94458,2.5189886,8.159358,0.003996508,8.265461
-13.352990205460237,152,7800,73.51,-690.4,-690.4100308499999,0.0003,51,109,7700,0.098207586,-7.563182,98.42633,2.5926445,5915.341,0.025143832,5914.55
-13.179856536897844,154,7900,75.03,-692.0,-691.98973259,0.0003,51,110,7800,0.09528231,-7.7531404,99.051056,2.5199323,1967.5922,0.011109058,1967.4263
-12.991122681551817,156,8000,75.31,-691.5,-691.5452984899998,0.0003,51,111,7900,0.092453815,-8.053061,100.7418,2.6032941,6.1972275,0.01856739,6.1629305
-12.741431772004105,158,8100,76.24,-691.5,-691.46829997,0.0003,51,112,8000,0.089705884,-7.866513,101.960205,2.520834,1944.9723,0.0068301708,1944.7964
-12.558030102736149,160,8200,76.93,-690.7,-690.7206158599998,0.0003,51,114,8100,0.08704198,-8.03228,103.775055,2.546547,7.620595,0.017194819,7.4483666
-12.426798124209554,162,8300,77.3,-691.1,-691.1431091799999,0.0003,51,115,8200,0.08445581,-7.641904,105.706764,2.4806693,1922.1533,0.076664925,1921.7719
-12.30319964331688,164,8400,77.64,-690.9,-690.89523116,0.0003,51,116,8300,0.08195091,-8.342581,106.06825,2.5115843,1912.0668,0.001084434,1912.0781
-12.229512992473035,166,8500,78.33,-695.4,-695.4357354599998,0.0003,51,117,8400,0.07952329,-8.376252,107.51286,2.546802,6.321233,0.010504719,6.107792
-12.206890811271428,168,8600,78.55,-695.5,-695.5065625100001,0.0003,51,119,8500,0.07716848,-8.370875,109.51048,2.5428813,8.776991,0.016539298,8.74284
-11.986033968346478,170,8700,79.26,-695.2,-695.2253321600001,0.0003,51,121,8600,0.07488452,-8.611803,110.61784,2.493901,1878.7474,0.011751242,1878.5084
-11.835923768808172,172,8800,79.44,-695.4,-695.43380481,0.0003,51,122,8700,0.072666466,-8.50253,112.213165,2.531515,1868.5042,0.011359442,1868.192
-11.835923768808172,174,8900,79.44,-695.4,-695.43380481,0.0003,51,122,8800,0.07050417,-8.947856,113.15831,2.5582895,1857.9517,0.00095080765,1857.8575
-11.674688085042566,176,9000,81.36,-700.6,-700.64068028,0.0003,51,124,8900,0.068408765,-8.850815,115.37083,2.6596603,1847.6304,0.034911774,1847.0051
-11.740862099769481,178,9100,80.91,-699.0,-698.9878821199999,0.0003,51,125,9000,0.06637555,-9.119348,116.3327,2.5382473,1835.4387,0.00023147943,1835.3417
-11.740862099769481,179,9200,80.91,-699.0,-698.9878821199999,0.0003,51,125,9100,0.06439717,-9.255987,117.58147,2.5475235,1827.9329,0.0073916796,1827.3916
-11.494597842629023,181,9300,83.07,-700.2,-700.1892444099998,0.0003,51,126,9200,0.06247628,-9.198486,118.8035,2.5650108,1816.6014,0.038343363,1816.498
-11.491779769327866,183,9400,83.0,-699.4,-699.3893386799999,0.0003,51,127,9300,0.06061227,-9.3555355,119.9138,2.5441737,1807.39,0.00040655222,1807.2623
-11.431292403288936,185,9500,83.28,-699.2,-699.2428755499999,0.0003,51,128,9400,0.058804166,-9.469997,121.41814,2.5216706,6.6284447,0.0067289895,6.7598295
-11.431292403288936,187,9600,83.28,-699.2,-699.2428755499999,0.0003,51,128,9500,0.057055343,-9.538624,122.76662,2.4909391,9.50014,0.0043991753,9.170736
-11.431292403288936,189,9700,83.28,-699.2,-699.2428755499999,0.0003,51,128,9600,0.05536146,-9.732335,124.07045,2.651732,8.7671585,0.029595822,7.984574
-11.341750852829938,191,9800,85.42,-703.8,-703.8186230899998,0.0003,51,129,9700,0.053722326,-9.786392,125.2248,2.5127676,7.643994,0.039818335,7.569846
-11.301685008076594,193,9900,85.91,-704.5,-704.48389646,0.0003,51,130,9800,0.052153192,-9.554784,126.328964,2.6324177,1760.4874,0.017630097,1759.9507
-11.246886312264678,195,10000,86.37,-705.0,-705.0343993500001,0.0003,51,131,9900,0.05068732,-9.78714,128.11142,2.5274675,1749.4165,0.092516586,1748.6719
-11.181085146196931,197,10100,86.93,-705.0,-704.99560006,0.0003,51,133,10000,0.049210187,-9.91345,129.37546,2.4876707,1737.4807,0.0021151542,1737.3884
-11.329034065315403,199,10200,86.29,-704.3,-704.32457707,0.0003,51,135,10100,0.047766626,-10.200435,130.78123,2.4977357,1726.7098,0.013219373,1727.2311
-11.329034065315403,201,10300,86.29,-704.3,-704.32457707,0.0003,51,135,10200,0.046354953,-10.322044,132.36397,2.679944,3423.5808,0.015411646,3425.2256
-11.344365495480798,203,10400,85.43,-703.9,-703.90057348,0.0003,51,137,10300,0.044983447,-10.237076,134.11871,2.4969625,1691.4879,0.018194132,1687.4868
-11.365438998417696,205,10500,85.58,-706.9,-706.91084542,0.0003,51,139,10400,0.043646432,-10.112999,135.45975,2.6448455,3377.0803,0.015434899,3378.9243
-11.311916431175032,207,10600,85.9,-706.3,-706.27518353,0.0003,51,140,10500,0.042349942,-10.393534,136.98227,2.5378234,1683.2085,0.037933003,1683.7509
-11.346316742158809,209,10700,85.87,-707.2,-707.2497350900001,0.0003,51,142,10600,0.041089017,-10.729286,138.05765,2.6264756,1673.9744,0.009568665,1674.5507
-11.346316742158809,211,10800,85.87,-707.2,-707.2497350900001,0.0003,51,142,10700,0.039865024,-10.626415,139.6919,2.5962763,8.8103285,0.01754833,8.323255
-11.346316742158809,213,10900,85.87,-707.2,-707.2497350900001,0.0003,51,142,10800,0.03867809,-10.78403,141.17862,2.540905,8.343132,0.0046352847,7.737442
-11.316955262529643,215,11000,86.99,-707.6,-707.6402147599999,0.0003,51,143,10900,0.037528183,-10.969429,142.43694,2.605195,7.802961,0.000492411,7.4766645
-11.274373555745315,216,11100,87.3,-705.4,-705.3556191300002,0.0003,51,145,11000,0.036413934,-10.708336,143.4999,2.5478077,1635.0026,0.003000946,1635.2883
-11.156901139954558,218,11200,87.92,-706.1,-706.0530448700001,0.0003,51,146,11100,0.0353316,-11.074324,144.60867,2.4392269,6.261845,0.02151409,6.1281567
-11.214362596290412,220,11300,87.69,-706.5,-706.5410258600002,0.0003,51,148,11200,0.0342833,-11.381349,145.95186,2.4818316,1613.7471,0.0193583,1612.1777
-11.255012248805222,222,11400,86.48,-704.7,-704.7163808300002,0.0003,51,149,11300,0.033274043,-11.217894,147.33566,2.624967,3202.2087,0.056513622,3199.0618
-11.196569195031293,224,11500,86.67,-705.2,-705.19123992,0.0003,51,150,11400,0.032291725,-11.432556,148.45145,2.4583468,1599.879,0.00010421017,1600.2886
