total timesteps,time_elapsed,eplenmean,n_updates,fps,ep_rewmean,current_lr,mean 100 episode reward per step,mean 100 episode reward,episodes,policy_loss,entropy,qf2_loss,qf1_loss,ent_coef_loss,value_loss,ent_coef
12100,305,98.56,12000,39,-655.69110593,0.0003,-13.41540745805515,-655.7,153,139.80792,1.7906275,4768.667,4786.5938,0.56393087,56.81518,0.060499597
12200,308,98.87,12100,39,-655.47413601,0.0003,-13.370365560005688,-655.5,154,135.25803,1.9020591,168.01857,166.15271,-4.2947516,9.072167,0.05973024
12300,310,99.15,12200,39,-655.11546224,0.0003,-13.159040345273722,-655.1,155,138.25482,1.7112534,11.632736,10.987467,-0.24867332,4.794632,0.05887292
12400,313,99.95,12300,39,-655.31429153,0.0003,-13.016732243543167,-655.3,156,141.70227,1.6991228,1872.9539,1866.3842,1.9996185,7.5168266,0.059177674
12500,315,101.33,12400,39,-655.97406848,0.0003,-12.868014333094013,-656.0,157,151.47244,1.68978,2798.3633,2790.0464,-0.9994019,16.896255,0.058293015
12600,318,101.33,12500,39,-655.97406848,0.0003,-12.868014333094013,-656.0,157,140.16196,1.7877362,16.799236,13.977415,-1.8912544,6.511647,0.057197347
12700,320,101.33,12600,39,-655.97406848,0.0003,-12.868014333094013,-656.0,157,140.38123,1.7357097,12.078709,11.567935,-0.799494,7.6542425,0.05651199
12800,323,103.95,12700,39,-650.27800901,0.0003,-12.697777879829635,-650.3,158,146.88031,1.6614828,955.8329,956.9185,-0.9488159,21.15382,0.056523725
12900,325,103.97,12800,39,-649.5348419200001,0.0003,-12.660599072314737,-649.5,160,138.64752,1.7995529,36.651886,31.91154,-1.6685743,31.171629,0.055853073
13000,328,103.97,12900,39,-649.5348419200001,0.0003,-12.660599072314737,-649.5,160,143.50429,1.7063684,10.339616,10.715179,-0.59898144,11.6920595,0.054984502
13100,330,103.97,13000,39,-649.5348419200001,0.0003,-12.660599072314737,-649.5,160,151.92218,1.7411578,1806.3119,1795.3834,2.5839198,14.887219,0.056387726
13200,333,106.69,13100,39,-646.44305504,0.0003,-12.443879909827466,-646.4,161,149.60938,1.7284918,916.8892,915.8576,1.1952001,52.79702,0.057524063
13300,335,107.22,13200,39,-648.9998047400001,0.0003,-12.312433935807533,-649.0,162,141.47284,1.8087286,885.3992,880.335,-1.3661759,5.5055037,0.057377446
13400,338,107.22,13300,39,-648.9998047400001,0.0003,-12.312433935807533,-649.0,162,139.08487,1.9405317,1546.8113,1575.8993,-1.9013555,1.6950581,0.057668287
