episodes,mean 100 episode reward per step,% time spent exploring,steps,mean 100 episode reward
622,-5.54482722472978,2,60200,-445.2
623,-5.455665567476733,2,60300,-439.5
623,-5.455665567476733,2,60400,-439.5
624,-5.454196231504579,2,60500,-439.6
624,-5.454196231504579,2,60600,-439.6
626,-5.560035231218198,2,60700,-445.2
626,-5.560035231218198,2,60800,-445.2
626,-5.560035231218198,2,60900,-445.2
627,-5.523354701172163,2,61000,-439.2
628,-5.516202748715808,2,61100,-439.1
628,-5.516202748715808,2,61200,-439.1
628,-5.516202748715808,2,61300,-439.1
629,-5.435817849699259,2,61400,-433.4
629,-5.435817849699259,2,61500,-433.4
629,-5.435817849699259,2,61600,-433.4
630,-5.4362273927807045,2,61700,-433.5
630,-5.4362273927807045,2,61800,-433.5
630,-5.4362273927807045,2,61900,-433.5
631,-5.40632803225071,2,62000,-427.6
631,-5.40632803225071,2,62100,-427.6
631,-5.40632803225071,2,62200,-427.6
633,-5.404541714780585,2,62300,-421.8
634,-5.541089340169097,2,62400,-421.4
634,-5.541089340169097,2,62500,-421.4
635,-5.563649482115599,2,62600,-427.4
635,-5.563649482115599,2,62700,-427.4
635,-5.563649482115599,2,62800,-427.4
636,-5.556273297629113,2,62900,-427.3
636,-5.556273297629113,2,63000,-427.3
636,-5.556273297629113,2,63100,-427.3
637,-5.52038863218607,2,63200,-421.5
638,-5.520196560484201,2,63300,-421.5
638,-5.520196560484201,2,63400,-421.5
638,-5.520196560484201,2,63500,-421.5
639,-5.520331008459407,2,63600,-421.6
640,-5.620907394291254,2,63700,-421.3
641,-5.685322097910341,2,63800,-427.0
642,-5.730009697281636,2,63900,-432.8
642,-5.730009697281636,2,64000,-432.8
642,-5.730009697281636,2,64100,-432.8
643,-5.692059954319592,2,64200,-426.8
643,-5.692059954319592,2,64300,-426.8
644,-5.720001213623647,2,64400,-432.4
644,-5.720001213623647,2,64500,-432.4
644,-5.720001213623647,2,64600,-432.4
645,-5.670075293552876,2,64700,-432.5
646,-5.678610451641762,2,64800,-432.4
647,-5.710420087217401,2,64900,-438.1
647,-5.710420087217401,2,65000,-438.1
647,-5.710420087217401,2,65100,-438.1
648,-5.709838970846024,2,65200,-437.9
648,-5.709838970846024,2,65300,-437.9
648,-5.709838970846024,2,65400,-437.9
649,-5.709084842116895,2,65500,-437.7
649,-5.709084842116895,2,65600,-437.7
651,-5.857340611894536,2,65700,-437.7
651,-5.857340611894536,2,65800,-437.7
652,-5.869445057578175,2,65900,-437.6
652,-5.869445057578175,2,66000,-437.6
652,-5.869445057578175,2,66100,-437.6
653,-5.818686529317076,2,66200,-431.6
653,-5.818686529317076,2,66300,-431.6
654,-5.8116827523261625,2,66400,-431.6
655,-5.818643554687818,2,66500,-431.4
656,-6.196549878758632,2,66600,-437.1
657,-5.929266414685815,2,66700,-437.1
658,-5.738366943489529,2,66800,-437.3
658,-5.738366943489529,2,66900,-437.3
660,-5.872825228032325,2,67000,-437.2
661,-5.870042915922855,2,67100,-437.2
663,-6.3189520262592,2,67200,-448.6
663,-6.3189520262592,2,67300,-448.6
663,-6.3189520262592,2,67400,-448.6
664,-6.273807038650106,2,67500,-449.1
664,-6.273807038650106,2,67600,-449.1
664,-6.273807038650106,2,67700,-449.1
665,-6.274595931654375,2,67800,-449.4
666,-6.2802034683555075,2,67900,-449.5
668,-6.34851036935353,2,68000,-449.6
670,-6.514607652099122,2,68100,-449.6
671,-6.680713930069683,2,68200,-455.1
671,-6.680713930069683,2,68300,-455.1
671,-6.680713930069683,2,68400,-455.1
672,-6.615807175524628,2,68500,-449.6
673,-6.419066529542368,2,68600,-450.1
675,-7.025082091897762,2,68700,-455.1
676,-7.010662375973568,2,68800,-455.3
677,-7.101393235412603,2,68900,-455.1
679,-6.928764380729827,2,69000,-460.4
679,-6.928764380729827,2,69100,-460.4
680,-6.9087831836341955,2,69200,-460.4
680,-6.9087831836341955,2,69300,-460.4
680,-6.9087831836341955,2,69400,-460.4
682,-6.662514274703553,2,69500,-454.8
683,-7.125775707688445,2,69600,-460.5
685,-7.0063139129505725,2,69700,-460.5
687,-7.094418765191533,2,69800,-460.5
687,-7.094418765191533,2,69900,-460.5
687,-7.094418765191533,2,70000,-460.5
689,-7.19173452428383,2,70100,-472.0
689,-7.19173452428383,2,70200,-472.0
690,-6.954520023045629,2,70300,-472.4
691,-6.905965755449168,2,70400,-472.7
691,-6.905965755449168,2,70500,-472.7
691,-6.905965755449168,2,70600,-472.7
692,-6.930608099273492,2,70700,-478.4
692,-6.930608099273492,2,70800,-478.4
693,-6.867242864479635,2,70900,-478.8
693,-6.867242864479635,2,71000,-478.8
694,-6.8354688208760965,2,71100,-479.0
694,-6.8354688208760965,2,71200,-479.0
695,-6.811833526455432,2,71300,-478.8
695,-6.811833526455432,2,71400,-478.8
697,-6.927740566464357,2,71500,-478.8
697,-6.927740566464357,2,71600,-478.8
698,-6.943445030013566,2,71700,-478.7
698,-6.943445030013566,2,71800,-478.7
700,-7.1172299903315,2,71900,-478.4
700,-7.1172299903315,2,72000,-478.4
701,-7.154548505447024,2,72100,-484.2
701,-7.154548505447024,2,72200,-484.2
702,-7.187141090299445,2,72300,-489.8
703,-7.1366501054478135,2,72400,-489.8
703,-7.1366501054478135,2,72500,-489.8
703,-7.1366501054478135,2,72600,-489.8
704,-7.136369298393232,2,72700,-489.8
704,-7.136369298393232,2,72800,-489.8
706,-7.269014147103526,2,72900,-489.4
706,-7.269014147103526,2,73000,-489.4
708,-7.3650363226061515,2,73100,-495.1
710,-7.660768800250091,2,73200,-505.9
710,-7.660768800250091,2,73300,-505.9
711,-7.661182238602498,2,73400,-505.8
712,-7.712585486770707,2,73500,-505.6
712,-7.712585486770707,2,73600,-505.6
712,-7.712585486770707,2,73700,-505.6
713,-7.656667383389719,2,73800,-500.0
713,-7.656667383389719,2,73900,-500.0
714,-7.657444693467878,2,74000,-499.9
714,-7.657444693467878,2,74100,-499.9
715,-7.528851173367475,2,74200,-500.1
715,-7.528851173367475,2,74300,-500.1
715,-7.528851173367475,2,74400,-500.1
716,-7.550096757134776,2,74500,-506.1
717,-7.55187606542358,2,74600,-506.0
717,-7.55187606542358,2,74700,-506.0
718,-7.584891074681435,2,74800,-512.0
718,-7.584891074681435,2,74900,-512.0
718,-7.584891074681435,2,75000,-512.0
719,-7.56097766194921,2,75100,-506.1
719,-7.56097766194921,2,75200,-506.1
719,-7.56097766194921,2,75300,-506.1
720,-7.561054295660917,2,75400,-506.2
720,-7.561054295660917,2,75500,-506.2
720,-7.561054295660917,2,75600,-506.2
