EpisodesSoFar,TimeElapsed,entloss,EpRewMean,surrgain,EpThisIter,explained_variance_tdlam_before,entropy,optimgain,EpLenMean,EpRew/step,TimestepsSoFar,meankl
1056,25526.656608581543,0.0,-159.995627375,0.013179608,7,-0.00020694732666015625,4.0325356,0.013179608,177.175,-1.080884461941699,164864,0.010743823
1061,25681.182123422623,0.0,-140.80179817500002,0.033467937,5,-0.03191733360290527,4.0686526,0.033467937,180.9,-0.8823576013829701,165888,0.009723391
1067,25836.39337539673,0.0,-142.2578253,0.02068656,6,-0.007745146751403809,4.083557,0.02068656,183.925,-0.8850614084283184,166912,0.010133884
1074,25990.64824938774,0.0,-112.732747525,0.022528354,7,0.033241093158721924,4.0964484,0.022528354,187.25,-0.7704522032671324,167936,0.009092173
1082,26154.104336977005,0.0,-89.91260704999999,0.03485113,8,-5.060445308685303,4.108414,0.03485113,176.85,-0.6794831168208919,168960,0.009423226
1089,26312.741579294205,0.0,-85.04845545,0.037389763,7,-0.1895233392715454,4.108666,0.037389763,159.15,-0.681791614193068,169984,0.009569746
1093,26507.95592689514,0.0,-70.77141125,0.02801194,4,-0.0012112855911254883,4.138109,0.02801194,165.075,-0.5295223658496084,171008,0.00984008
1102,26663.612842321396,0.0,-51.7520046,0.028855287,9,-0.004778146743774414,4.158066,0.028855287,149.35,-0.3588553855904585,172032,0.0096510425
1109,26818.718260765076,0.0,-53.213818450000005,0.030585466,7,0.02026665210723877,4.1694736,0.030585466,150.45,-0.3575372034910463,173056,0.009808639
1117,27009.217395067215,0.0,-44.133010375000005,0.032045044,8,-0.028366446495056152,4.1662807,0.032045044,146.25,-0.33108795208269826,174080,0.009989139
1124,27167.017158269882,0.0,-63.64363217499999,0.025523717,7,-0.0002701282501220703,4.1694684,0.025523717,138.475,-0.43138802311919305,175104,0.010735446
1132,27322.06588077545,0.0,-96.1993612,0.0423792,8,-0.0001405477523803711,4.1620317,0.0423792,138.95,-0.9625947333250272,176128,0.009409474
1140,27477.11867928505,0.0,-95.315627,0.03069982,8,-0.20635294914245605,4.1643224,0.03069982,137.925,-0.9686386401795589,177152,0.009976943
1146,27635.326403856277,0.0,-110.23625799999999,0.058462493,6,-0.00011157989501953125,4.1598716,0.058462493,136.75,-1.067419538203643,178176,0.010818167
1151,27791.43533563614,0.0,-114.626066275,0.031228416,5,-0.009325027465820312,4.1871433,0.031228416,146.0,-1.0742969072747246,179200,0.009858234
1157,27948.521203041077,0.0,-118.74368915,0.025128262,6,-0.7880816459655762,4.1835537,0.025128262,152.5,-1.0883098928090884,180224,0.009048378
1162,28101.10559105873,0.0,-101.0058372,0.039561473,5,-0.08024466037750244,4.198147,0.039561473,160.375,-0.9998350920254315,181248,0.010442007
1167,28258.575632333755,0.0,-85.13904069999998,0.022818724,5,0.4824449419975281,4.151771,0.022818724,169.375,-0.5577555503937874,182272,0.010106411
1173,28414.169313669205,0.0,-103.59699505,0.024971578,6,-0.8319089412689209,4.117794,0.024971578,178.625,-0.552691475019921,183296,0.010552253
1178,28577.540795326233,0.0,-113.53267664999998,0.028549867,5,1.8537044525146484e-05,4.1307297,0.028549867,189.8,-0.5755939010898952,184320,0.008549419
1183,28735.08989405632,0.0,-95.86737107500001,0.03291721,5,-0.26383399963378906,4.130913,0.03291721,189.5,-0.4693232715985539,185344,0.009757964
1192,28890.00923705101,0.0,-91.162854425,0.029961005,9,0.013035774230957031,4.158874,0.029961005,177.275,-0.46360802215569324,186368,0.009848775
1196,29046.655361175537,0.0,-90.8809703,0.036454383,4,-0.0008285045623779297,4.1329293,0.036454383,176.925,-0.45887607506828587,187392,0.010791507
